timestamp,FPS,num_objects,confidences,conf_max,conf_min,conf_mean,conf_std
2026-02-23 22:06:56.139739,33.4,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.179593,32.29,1,[0.3532569408416748],0.3532569408416748,0.3532569408416748,0.3532569408416748,
2026-02-23 22:06:56.213900,32.25,1,[0.347162663936615],0.347162663936615,0.347162663936615,0.347162663936615,
2026-02-23 22:06:56.231299,33.87,1,[0.4926780164241791],0.4926780164241791,0.4926780164241791,0.4926780164241791,
2026-02-23 22:06:56.246210,38.86,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.302642,38.54,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.342657,39.68,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.394109,37.76,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.431969,34.07,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.463047,35.02,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.492695,33.32,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.524900,33.92,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.551869,34.72,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.585946,32.02,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.615386,28.54,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.652879,29.43,1,[0.4329793155193329],0.4329793155193329,0.4329793155193329,0.4329793155193329,
2026-02-23 22:06:56.687268,29.86,1,[0.2914292812347412],0.2914292812347412,0.2914292812347412,0.2914292812347412,
2026-02-23 22:06:56.707425,32.87,1,[0.30179694294929504],0.30179694294929504,0.30179694294929504,0.30179694294929504,
2026-02-23 22:06:56.726006,35.65,2,"[0.3154389560222626, 0.2815122604370117]",0.3154389560222626,0.2815122604370117,0.29847560822963715,0.023989796511582583
2026-02-23 22:06:56.766279,34.91,2,"[0.29121071100234985, 0.29054346680641174]",0.29121071100234985,0.29054346680641174,0.2908770889043808,0.0004718128956552032
2026-02-23 22:06:56.788907,35.98,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.820228,36.08,1,[0.33098310232162476],0.33098310232162476,0.33098310232162476,0.33098310232162476,
2026-02-23 22:06:56.838652,37.77,1,[0.2517520785331726],0.2517520785331726,0.2517520785331726,0.2517520785331726,
2026-02-23 22:06:56.857263,40.19,1,[0.5911123156547546],0.5911123156547546,0.5911123156547546,0.5911123156547546,
2026-02-23 22:06:56.874057,42.77,1,[0.599446177482605],0.599446177482605,0.599446177482605,0.599446177482605,
2026-02-23 22:06:56.912245,42.72,1,[0.29764124751091003],0.29764124751091003,0.29764124751091003,0.29764124751091003,
2026-02-23 22:06:56.937721,43.75,1,[0.30820608139038086],0.30820608139038086,0.30820608139038086,0.30820608139038086,
2026-02-23 22:06:56.961207,43.03,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:56.994383,40.63,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.026275,41.29,1,[0.25352713465690613],0.25352713465690613,0.25352713465690613,0.25352713465690613,
2026-02-23 22:06:57.071946,39.07,1,[0.6053252220153809],0.6053252220153809,0.6053252220153809,0.6053252220153809,
2026-02-23 22:06:57.106770,38.75,1,[0.6231972575187683],0.6231972575187683,0.6231972575187683,0.6231972575187683,
2026-02-23 22:06:57.157016,35.33,1,[0.5666420459747314],0.5666420459747314,0.5666420459747314,0.5666420459747314,
2026-02-23 22:06:57.171806,36.71,1,[0.5747393369674683],0.5747393369674683,0.5747393369674683,0.5747393369674683,
2026-02-23 22:06:57.199073,34.43,1,[0.3625536262989044],0.3625536262989044,0.3625536262989044,0.3625536262989044,
2026-02-23 22:06:57.241928,34.17,2,"[0.5642656683921814, 0.33838725090026855]",0.5642656683921814,0.33838725090026855,0.451326459646225,0.15972016073221765
2026-02-23 22:06:57.282754,32.66,3,"[0.43162301182746887, 0.32033979892730713, 0.2598080039024353]",0.43162301182746887,0.2598080039024353,0.33725693821907043,0.0871478137329476
2026-02-23 22:06:57.315694,31.48,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.348964,31.44,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.399241,30.28,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.427057,31.67,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.442198,35.42,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.466057,37.65,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.498288,34.03,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.536517,32.97,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.585718,32.64,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.603476,35.77,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.649935,34.88,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.681550,35.03,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.729001,35.16,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.761199,34.67,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.806605,30.26,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.836606,29.35,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.880964,28.48,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.913251,28.97,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.954555,29.36,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:57.990248,26.62,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:58.027880,27.09,1,[0.25146958231925964],0.25146958231925964,0.25146958231925964,0.25146958231925964,
2026-02-23 22:06:58.074864,26.1,1,[0.27515843510627747],0.27515843510627747,0.27515843510627747,0.27515843510627747,
2026-02-23 22:06:58.114978,26.46,1,[0.25934815406799316],0.25934815406799316,0.25934815406799316,0.25934815406799316,
2026-02-23 22:06:58.144057,26.82,1,[0.26340267062187195],0.26340267062187195,0.26340267062187195,0.26340267062187195,
2026-02-23 22:06:58.167401,28.9,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:58.211394,27.86,0,[],0.0,0.0,0.0,0.0
2026-02-23 22:06:58.260928,27.63,1,[0.3617114722728729],0.3617114722728729,0.3617114722728729,0.3617114722728729,
2026-02-23 22:06:58.295239,27.42,1,[0.4971018135547638],0.4971018135547638,0.4971018135547638,0.4971018135547638,
2026-02-23 22:06:58.336123,27.46,1,[0.507330596446991],0.507330596446991,0.507330596446991,0.507330596446991,
2026-02-23 22:06:58.391296,26.46,1,[0.34560850262641907],0.34560850262641907,0.34560850262641907,0.34560850262641907,
2026-02-23 22:06:58.425325,26.75,1,[0.33477145433425903],0.33477145433425903,0.33477145433425903,0.33477145433425903,
2026-02-23 22:06:58.459171,27.57,1,[0.38058534264564514],0.38058534264564514,0.38058534264564514,0.38058534264564514,
2026-02-23 22:06:58.509912,27.06,1,[0.3870912492275238],0.3870912492275238,0.3870912492275238,0.3870912492275238,
2026-02-23 22:06:58.540778,26.86,1,[0.6038275361061096],0.6038275361061096,0.6038275361061096,0.6038275361061096,
2026-02-23 22:06:58.584619,24.84,2,"[0.5987380146980286, 0.25661325454711914]",0.5987380146980286,0.25661325454711914,0.42767563462257385,0.24191873791452917
2026-02-23 22:06:58.634631,24.58,2,"[0.6340032815933228, 0.25476184487342834]",0.6340032815933228,0.25476184487342834,0.44438256323337555,0.2681641916115663
