,YOLO-s,YOLO-n
Mean Conf,0.563440668576893,0.42038211575978085
Max Conf,0.9725064039230348,0.9388234615325928
Std Conf,0.19659825764110378,0.1328736073001668
Anomaly Frames,516.0,720.0
Avg FPS,29.89201713909031,30.139815425181283
Max FPS,50.31,46.03
Usable Frames,1129.0,620.0
